X1,X2,X3,X4,X5,X6
12,0.91563,1,-0.5,0.02582,603.77
14,0.91638,1,-0.5,0.021609,777.85
2,0.92986,1,-0.5,0.11155,53.271
4,0.92987,1,-0.5,0.072003,117.75
6,0.92952,1,-0.5,0.045453,237.61
8,0.92933,1,-0.5,0.03461,313.86
10,0.9295,1,-0.5,0.025285,523.52
12,0.92741,1,-0.5,0.021887,661.91
14,0.92883,1,-0.5,0.019108,1194.6
2,0.93998,1,-0.5,0.095565,66.083
4,0.93953,1,-0.5,0.061719,141.21
6,0.93958,1,-0.5,0.038972,312.24
8,0.93879,1,-0.5,0.029673,430.85
10,0.9392,1,-0.5,0.022037,610.39
12,0.93508,1,-0.5,0.019744,848.75
14,0.93713,1,-0.5,0.016889,1089.5
2,0.94998,1,-0.5,0.079385,90.788
4,0.94986,1,-0.5,0.051288,189.63
6,0.94902,1,-0.5,0.032526,388.68
8,0.9485,1,-0.5,0.025474,558.63
10,0.94644,1,-0.5,0.019164,809.17
12,0.94632,1,-0.5,0.016296,1145.5
14,0.9488,1,-0.5,0.013804,1640.9
2,0.95979,1,-0.5,0.064403,119.98
4,0.95962,1,-0.5,0.041328,233.51
6,0.95925,1,-0.5,0.026498,515.09
8,0.95839,1,-0.5,0.02015,770.6
10,0.95697,1,-0.5,0.015628,1524.4
12,0.95559,1,-0.5,0.013269,1459.7
14,0.95987,1,-0.5,0.010751,1702.5
2,0.95476,-0.5,-0.1,0.07927,35.916
4,0.93541,-0.5,-0.1,0.07249,45.454
6,0.89058,-0.5,-0.1,0.076441,38.452
8,0.84596,-0.5,-0.1,0.083165,33.316
10,0.83948,-0.5,-0.1,0.061626,45.51
12,0.83694,-0.5,-0.1,0.054035,62.564
14,0.83493,-0.5,-0.1,0.048577,92.203
2,0.93087,-0.5,-0.1,0.1188,18.55
4,0.92072,-0.5,-0.1,0.088536,32.397
6,0.87585,-0.5,-0.1,0.087471,32.009
8,0.8498,-0.5,-0.1,0.077658,30.727
10,0.8494,-0.5,-0.1,0.061097,53.192
12,0.84672,-0.5,-0.1,0.051005,63.834
14,0.84685,-0.5,-0.1,0.044605,104.43
2,0.93621,-0.5,-0.1,0.11112,21.303
4,0.90736,-0.5,-0.1,0.10447,26.176
6,0.87258,-0.5,-0.1,0.087908,27.283
8,0.86616,-0.5,-0.1,0.0708,42.36
10,0.8569,-0.5,-0.1,0.056496,73.988
12,0.8554,-0.5,-0.1,0.0495,75.552
14,0.8564,-0.5,-0.1,0.040751,123.6
2,0.93838,-0.5,-0.1,0.10749,22.868
4,0.92992,-0.5,-0.1,0.078239,38.374
6,0.89082,-0.5,-0.1,0.076321,35.992
8,0.86953,-0.5,-0.1,0.068801,43.739
10,0.86671,-0.5,-0.1,0.053949,69.317
12,0.86638,-0.5,-0.1,0.044636,91.14
14,0.86724,-0.5,-0.1,0.038702,138.63
2,0.94399,-0.5,-0.1,0.09778,26.649
4,0.8986,-0.5,-0.1,0.11196,21.577
6,0.88904,-0.5,-0.1,0.077488,38.057
8,0.87829,-0.5,-0.1,0.065094,57.854
10,0.87928,-0.5,-0.1,0.047117,80.215
12,0.87733,-0.5,-0.1,0.042133,117.93
14,0.8783,-0.5,-0.1,0.037054,138.74
2,0.94148,-0.5,-0.1,0.10293,24.989
4,0.93972,-0.5,-0.1,0.067578,49.587
6,0.88998,-0.5,-0.1,0.077846,40.799
8,0.8882,-0.5,-0.1,0.058702,49.088
10,0.88673,-0.5,-0.1,0.04532,98.958
12,0.8871,-0.5,-0.1,0.037798,105.41
